date,clones,uniques
2026-07-13,0,0
2026-07-14,173,15
2026-07-15,44,20
2026-07-16,9,6
2026-07-17,309,91
2026-07-18,100,45
2026-07-19,893,305
2026-07-20,444,179
2026-07-21,539,161
2026-07-22,432,143
2026-07-23,329,135
2026-07-24,494,151
2026-07-25,174,89
2026-07-26,746,169
2026-07-27,610,151
2026-07-28,385,104
2026-07-29,615,123
2026-07-30,253,104
2026-07-31,229,72
2026-08-01,325,56
2026-08-02,65,16
2026-08-03,46,20
2026-08-04,358,33
2026-08-05,358,76
2026-08-06,21,15
2026-08-07,24,16
2026-08-08,608,112
2026-08-09,358,75
2026-08-10,96,25
2026-08-11,41,16
2026-08-12,23,18
2026-08-13,27,13
2026-08-14,9,8
2026-08-15,402,50
2026-08-16,13,11
2026-08-17,37,14
2026-08-18,24,20
2026-08-19,24,17
2026-08-20,33,14
2026-08-21,14,10
2026-08-22,7,7
2026-08-23,21,11
