snapshot,path,views,uniques
2026-07-27,/SirAllap/agentglass,2925,1982
2026-07-27,/SirAllap/agentglass/blob/main/.github/assets/dashboard.png,109,97
2026-07-27,/SirAllap/agentglass/blob/main/.github/assets/diff.png,30,29
2026-07-27,/SirAllap/agentglass/blob/main/.github/assets/hero.gif,71,68
2026-07-27,/SirAllap/agentglass/issues,70,44
2026-07-27,/SirAllap/agentglass/pulls,121,22
2026-07-27,/SirAllap/agentglass/releases/tag/v0.5.0,47,33
2026-07-27,/SirAllap/agentglass/tree/main/server,20,19
2026-07-27,/SirAllap/agentglass/tree/main/server/src,20,19
2026-07-27,/SirAllap/agentglass/tree/main/web,17,17
2026-07-28,/SirAllap/agentglass,2925,1982
2026-07-28,/SirAllap/agentglass/blob/main/.github/assets/dashboard.png,109,97
2026-07-28,/SirAllap/agentglass/blob/main/.github/assets/diff.png,30,29
2026-07-28,/SirAllap/agentglass/blob/main/.github/assets/hero.gif,71,68
2026-07-28,/SirAllap/agentglass/issues,70,44
2026-07-28,/SirAllap/agentglass/pulls,121,22
2026-07-28,/SirAllap/agentglass/releases/tag/v0.5.0,47,33
2026-07-28,/SirAllap/agentglass/tree/main/server,20,19
2026-07-28,/SirAllap/agentglass/tree/main/server/src,20,19
2026-07-28,/SirAllap/agentglass/tree/main/web,17,17
