date,views,uniques
2026-07-13,0,0
2026-07-14,0,0
2026-07-15,0,0
2026-07-16,0,0
2026-07-17,0,0
2026-07-18,245,157
2026-07-19,1306,668
2026-07-20,294,181
2026-07-21,267,182
2026-07-22,414,228
2026-07-23,662,400
2026-07-24,374,185
2026-07-25,274,114
2026-07-26,234,82
2026-07-27,208,62
2026-07-28,148,68
2026-07-29,78,45
2026-07-30,122,66
2026-07-31,52,31
2026-08-01,35,22
2026-08-02,42,22
2026-08-03,173,20
2026-08-04,45,16
2026-08-05,143,19
2026-08-06,100,22
2026-08-07,25,20
2026-08-08,41,18
2026-08-09,48,13
2026-08-10,23,14
2026-08-11,13,11
2026-08-12,18,16
2026-08-13,47,20
2026-08-14,31,16
2026-08-15,20,11
2026-08-16,8,7
2026-08-17,29,20
2026-08-18,41,23
2026-08-19,15,13
2026-08-20,24,15
2026-08-21,13,11
2026-08-22,11,10
2026-08-23,28,17
2026-08-24,167,19
2026-09-08,35,12
2026-09-09,56,22
2026-09-10,68,16
2026-09-11,35,15
2026-09-12,13,7
2026-09-13,34,9
2026-09-14,20,13
2026-09-15,17,14
2026-09-16,39,16
2026-09-17,61,21
2026-09-18,34,12
2026-09-19,49,6
2026-09-20,42,14
2026-09-21,140,75
2026-09-22,227,84
2026-09-23,171,34
